topic_id,interpreted_topic,related_level2_pain_point,review_count,percentage,average_rating,top_keywords
1,"Premium content, locked features, and paid access",Pricing / Subscription,6044,16.44,1.37,"premium, meditation, sleep, content, version, free, locked, paid, paying, feature, option, better, sound, year, ad"
7,"Updates, crashes, installation, and notification issues",Technical Issues,5699,15.5,1.17,"update, setting, open, installed, stop, fix, crash, google, working, delete, new, notification, uninstalled, remove, crashing"
8,Mental health support needs and perceived care quality,Content Quality / Effectiveness,5365,14.59,1.23,"help, mental, health, mental health, therapist, listener, feel, issue, talk, anxiety, service, care, support, worse, problem"
6,"Subscription cancellation, refunds, and unexpected charges",Pricing / Subscription,4007,10.9,1.12,"subscription, cancel, charged, refund, cancel subscription, service, year, google, charge, cancelled, customer, play, month, email, customer service"
5,"Account, login, email, and password problems",Account / Login Issues,3699,10.06,1.19,"account, sign, let, wrong, email, went, log, went wrong, say, password, create, create account, login, error, saying"
2,Paywall barriers and restricted access,Pricing / Subscription,3103,8.44,1.26,"pay, unless, unless pay, pay wall, wall, free, pay subscription, free pay, locked, test, pay pay, pay free, pay year, pay money, locked pay"
9,"App malfunction, screen, notification, and loading problems",Technical Issues / Usability,2625,7.14,1.3,"work, screen, notification, block, properly, working, set, work properly, load, button, mode, message, fix, minute, idea"
0,"Free trial, credit card, and trial charges",Pricing / Subscription,2291,6.23,1.16,"free, trial, free trial, card, charged, credit, credit card, charge, payment, week, free free, download, trial charged, say free, free version"
4,"Wasted money, perceived scam, and poor value",Pricing / Subscription + Content Quality / Effectiveness,2175,5.92,1.14,"money, waste, cost, waste money, cost money, therapist, took, spend, refund, download, pay money, scam, took money, space, worth"
3,"Uninstall, bloatware, and app removal problems",Technical Issues / Usability,1753,4.77,1.06,"uninstall, disable, google, bloatware, space, useless, installed, install, option, let, let uninstall, option uninstall, uninstall disable, ask, remove"
