topic_id,top_keywords
0,"pay, app, like, good, really, thing, premium, free, im, meditation, sleep, used, great, locked, make"
1,"phone, app, uninstall, setting, update, installed, google, app phone, apps, stop, permission, remove, disable, useless, install"
2,"free, trial, free trial, day, day free, day trial, card, free app, app free, free day, try, payment, credit, credit card, charged"
3,"subscription, cancel, charged, refund, service, cancel subscription, year, cancelled, customer, month, charge, money, google, email, customer service"
4,"dont, want, dont want, need, dont need, know, want app, uninstall, dont know, app dont, dont like, delete, want phone, like, remove"
5,"account, let, wont, sign, wont let, try, wrong, email, log, tried, went, password, went wrong, say, create"
6,"use, use app, app, dont use, app use, pay use, able use, want use, able, use free, used use, dont, used, app dont, use phone"
7,"help, people, mental, health, mental health, money, need, therapist, listener, like, feel, issue, talk, really, make"
8,"time, waste, waste time, dont waste, day, money, therapist, tried, ive, dont, app, waste money, multiple, time money, screen"
9,"work, doesnt, doesnt work, app doesnt, app, open, app work, screen, notification, properly, update, mode, button, work properly, block"
