topic_id,top_keywords
0,"free, trial, free trial, card, charged, credit, credit card, charge, payment, week, free free, download, trial charged, say free, free version"
1,"premium, meditation, sleep, content, version, free, locked, paid, paying, feature, option, better, sound, year, ad"
2,"pay, unless, unless pay, pay wall, wall, free, pay subscription, free pay, locked, test, pay pay, pay free, pay year, pay money, locked pay"
3,"uninstall, disable, google, bloatware, space, useless, installed, install, option, let, let uninstall, option uninstall, uninstall disable, ask, remove"
4,"money, waste, cost, waste money, cost money, therapist, took, spend, refund, download, pay money, scam, took money, space, worth"
5,"account, sign, let, wrong, email, went, log, went wrong, say, password, create, create account, login, error, saying"
6,"subscription, cancel, charged, refund, cancel subscription, service, year, google, charge, cancelled, customer, play, month, email, customer service"
7,"update, setting, open, installed, stop, fix, crash, google, working, delete, new, notification, uninstalled, remove, crashing"
8,"help, mental, health, mental health, therapist, listener, feel, issue, talk, anxiety, service, care, support, worse, problem"
9,"work, screen, notification, block, properly, working, set, work properly, load, button, mode, message, fix, minute, idea"
